Condition	seed	Alive	Dead
C	10000	225	5
C	10000	218	5
C	10000	99	1
C	10000	128	7
C	10000	116	3
C	10000	299	8
C	10000	119	5
C	10000	130	5
C	10000	106	2
C	10000	128	4
C	10000	185	5
C	10000	86	6
C	50000	229	12
C	50000	213	14
C	50000	189	10
C	50000	168	7
C	50000	160	5
C	50000	153	10
C	50000	572	9
C	50000	532	8
C	50000	350	11
C	50000	389	7
C	50000	389	9
C	50000	332	7
C	100000	472	18
C	100000	456	26
C	100000	245	11
C	100000	394	7
C	100000	301	9
C	100000	335	3
C	100000	440	8
C	100000	567	11
C	100000	229	4
C	100000	360	7
C	100000	388	13
C	100000	341	6
C	500000	347	17
C	500000	346	17
C	500000	677	10
C	500000	517	11
C	500000	671	9
C	500000	2036	56
C	500000	655	22
C	500000	854	41
C	500000	554	10
C	500000	233	11
C	500000	288	13
C	500000	1152	11
IP50uM	10000	23	4
IP50uM	10000	30	4
IP50uM	10000	18	2
IP50uM	10000	30	3
IP50uM	10000	16	8
IP50uM	10000	8	5
IP50uM	10000	18	1
IP50uM	10000	12	2
IP50uM	10000	19	1
IP50uM	10000	12	3
IP50uM	10000	47	8
IP50uM	10000	47	5
IP50uM	50000	8	2
IP50uM	50000	9	2
IP50uM	50000	57	9
IP50uM	50000	51	8
IP50uM	50000	17	3
IP50uM	50000	21	4
IP50uM	50000	139	17
IP50uM	50000	81	12
IP50uM	50000	57	9
IP50uM	50000	75	12
IP50uM	50000	40	7
IP50uM	50000	59	11
IP50uM	100000	269	39
IP50uM	100000	304	29
IP50uM	100000	517	21
IP50uM	100000	403	24
IP50uM	100000	211	30
IP50uM	100000	218	31
IP50uM	100000	94	17
IP50uM	100000	58	17
IP50uM	100000	23	5
IP50uM	100000	21	8
IP50uM	100000	66	18
IP50uM	100000	85	26
IP50uM	500000	150	53
IP50uM	500000	159	59
IP50uM	500000	111	65
IP50uM	500000	203	43
IP50uM	500000	76	28
IP50uM	500000	90	49
IP50uM	500000	916	161
IP50uM	500000	1016	198
IP50uM	500000	704	110
IP50uM	500000	373	43
IP50uM	500000	337	66
IP50uM	500000	360	24
