Experiment,Condition,Count,TotalArea,AverageSize,AreaPercentage,Mean,IntDen
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
3,C_10uM,0,0,NaN,0,NaN,NaN
