Condition	Alive	Dead
C	848	22
C	771	17
C	664	7
C	568	3
C	472	6
C	394	2
IP20uM	1009	95
IP20uM	669	82
IP20uM	1257	74
IP20uM	592	31
IP20uM	620	14
IP20uM	597	36
IP30uM	504	39
IP30uM	416	38
IP30uM	271	55
IP30uM	276	58
IP30uM	335	55
IP30uM	381	45
IP40uM	182	26
IP40uM	396	27
IP40uM	240	41
IP40uM	279	54
IP40uM	175	28
IP40uM	364	57
IP50uM	116	35
IP50uM	204	50
IP50uM	36	40
IP50uM	64	41
IP50uM	112	48
IP50uM	123	28
C	422	10
C	467	11
C	270	5
C	305	7
C	337	5
C	336	12
IP20uM	479	30
IP20uM	323	31
IP20uM	340	14
IP20uM	435	17
IP20uM	347	17
IP20uM	277	17
IP30uM	330	21
IP30uM	157	17
IP30uM	245	25
IP30uM	278	24
IP30uM	186	36
IP30uM	161	34
IP40uM	97	10
IP40uM	80	16
IP40uM	132	18
IP40uM	112	27
IP40uM	177	33
IP40uM	227	32
IP50uM	54	17
IP50uM	45	17
IP50uM	51	12
IP50uM	62	21
IP50uM	36	17
IP50uM	55	17
