Condition,Value
Control,38.6
Control,48.5
Control,76.5
Control,70.8
Control,56
Control,36.2
Control,36.1
Control,66.6
Control,42.3
Control,56.5
Control,0
Control,11.7
Control,50
Control,45.4
Control,0
Control,25.9
Control,100
Control,100
Control,26.6
Control,0
Control,48.3
Control,3.7
Control,67.8
Control,68.9
Control,56.2
Control,1.1
Control,6.6
Control,0
Control,100
Control,36.6
PI-1 3h,62.9
PI-1 3h,96.4
PI-1 3h,63.9
PI-1 3h,60.2
PI-1 3h,70.2
PI-1 3h,50.4
PI-1 3h,85.1
PI-1 3h,73.4
PI-1 3h,83.7
PI-1 3h,68.4
PI-1 3h,86.6
PI-1 3h,93.5
PI-1 3h,97
PI-1 3h,92.3
PI-1 3h,72.2
PI-1 3h,82.2
PI-1 3h,43.4
PI-1 3h,85.7
PI-1 3h,80
PI-1 3h,77.7
PI-1 3h,70.4
PI-1 3h,22.2
PI-1 3h,83.8
PI-1 3h,73
PI-1 3h,40.4
PI-1 3h,86.7
PI-1 3h,62.9
PI-1 3h,91.4
PI-1 3h,92.1
PI-1 3h,100
PI-1 6h,43.1
PI-1 6h,57.6
PI-1 6h,55.4
PI-1 6h,77.3
PI-1 6h,96
PI-1 6h,56.5
PI-1 6h,64.1
PI-1 6h,68
PI-1 6h,87
PI-1 6h,73.1
PI-1 6h,100
PI-1 6h,90
PI-1 6h,86.1
PI-1 6h,100
PI-1 6h,100
PI-1 6h,100
PI-1 6h,95.8
PI-1 6h,93.9
PI-1 6h,100
PI-1 6h,91.3
PI-1 6h,64.7
PI-1 6h,69.2
PI-1 6h,47.5
PI-1 6h,66.6
PI-1 6h,87.5
PI-1 6h,84.2
PI-1 6h,70.8
PI-1 6h,80
PI-1 6h,65.2
PI-1 6h,66.6
Rapamycin,54.9
Rapamycin,57.1
Rapamycin,73.3
Rapamycin,57.3
Rapamycin,79.8
Rapamycin,66.2
Rapamycin,50
Rapamycin,62.6
Rapamycin,47.8
Rapamycin,59.7
Rapamycin,100
Rapamycin,80
Rapamycin,94.8
Rapamycin,92.8
Rapamycin,90.1
Rapamycin,100
Rapamycin,80.4
Rapamycin,84.2
Rapamycin,95.5
Rapamycin,74.6
Rapamycin,75
Rapamycin,46.9
Rapamycin,81.4
Rapamycin,73.9
Rapamycin,88.2
Rapamycin,36.5
Rapamycin,84.3
Rapamycin,81.8
Rapamycin,90.3
Rapamycin,26.3
