Condition	Alive	Dead
C	62	7
IP20uM	153	54
IP30uM	129	62
IP40uM	78	38
IP50uM	128	55
C	87	29
IP20uM	109	29
IP30uM	120	52
IP40uM	98	48
IP50uM	65	64
C	98	38
IP20uM	93	15
IP30uM	45	31
IP40uM	72	49
IP50uM	48	39
C	137	61
IP20uM	68	55
IP30uM	65	42
IP40uM	8	25
IP50uM	35	61
C	124	43
IP20uM	48	36
IP30uM	77	44
IP40uM	9	47
IP50uM	18	72
C	103	41
IP20uM	35	43
IP30uM	25	50
IP40uM	37	102
IP50uM	16	52
C	113	66
IP20uM	174	45
IP30uM	85	43
IP40uM	65	61
IP50uM	10	34
C	44	54
IP20uM	86	54
IP30uM	120	74
IP40uM	26	39
C	78	45
IP20uM	133	53
IP30uM	29	75
IP40uM	15	42
IP50uM	16	38
