Experiment,Minute,Event,Chamber,Event Text,A,B,Condition
1,0.03,,,,131.3557,139.7965,
1,0.07,,,,130.7042,139.133,
1,0.1,,,,130.3564,138.755,
1,0.13,,,,130.015,138.3939,
1,0.17,,,,129.6823,138.0396,
1,0.2,,,,129.3754,137.6988,
1,0.23,,,,129.0868,137.3817,
1,0.27,,,,128.809,137.085,
1,0.3,,,,128.5516,136.8051,
1,0.33,,,,128.305,136.5456,
1,0.37,,,,128.0692,136.3041,
1,0.4,,,,127.8571,136.0773,
1,0.43,,,,127.6654,135.8697,
1,0.47,,,,127.4866,135.6824,
1,0.5,,,,127.3305,135.5097,
1,0.53,,,,127.1991,135.3551,
1,0.57,,,,127.0871,135.2118,
1,0.6,,,,126.9967,135.0798,
1,0.63,,,,126.917,134.9692,
1,0.67,,,,126.8427,134.8767,
1,0.7,,,,126.7759,134.7966,
1,0.73,,,,126.7221,134.739,
1,0.77,,,,126.6898,134.695,
1,0.8,,,,126.6747,134.668,
1,0.83,,,,126.6672,134.6533,
1,0.87,,,,126.6672,134.6443,
1,0.9,,,,126.6801,134.6454,
1,0.93,,,,126.6952,134.6589,
1,0.97,,,,126.7242,134.6905,
1,1,,,,126.7695,134.7255,
1,1.03,,,,126.8222,134.7729,
1,1.07,,,,126.8879,134.8316,
1,1.1,,,,126.9644,134.9015,
1,1.13,,,,127.0505,134.9839,
1,1.17,,,,127.1377,135.0934,
1,1.2,,,,127.2357,135.2096,
1,1.23,,,,127.3413,135.3292,
1,1.27,,,,127.4705,135.4477,
1,1.3,,,,127.6062,135.5808,
1,1.33,,,,127.7472,135.7207,
1,1.37,,,,127.8818,135.8697,
1,1.4,,,,128.0207,136.0198,
1,1.43,,,,128.1715,136.18,
1,1.47,,,,128.3276,136.3459,
1,1.5,,,,128.4859,136.5219,
1,1.53,,,,128.6464,136.6968,
1,1.57,,,,128.8101,136.8807,
1,1.6,,,,128.9867,137.0635,
1,1.63,,,,129.1869,137.2554,
1,1.67,,,,129.398,137.4506,
1,1.7,,,,129.608,137.6548,
1,1.73,,,,129.8115,137.8579,
1,1.77,,,,130.0183,138.0836,
1,1.8,,,,130.2272,138.307,
1,1.83,,,,130.4307,138.535,
1,1.87,,,,130.6331,138.7651,
1,1.9,,,,130.8356,138.9953,
1,1.93,,,,131.0413,139.2165,
1,1.97,,,,131.2437,139.4377,
1,2,,,,131.4494,139.6532,
